N,P,stable_fraction,all_stable,min_retention,tail_time
16,5,0.8571428571428571,False,4.617951284617951,8.0
16,6,0.8571428571428571,False,6.668335001668336,8.0
16,8,0.7142857142857143,False,3.9889889889889893,8.0
16,10,0.42857142857142855,False,3.798798798798799,8.0
16,12,0.42857142857142855,False,3.1114447781114443,8.0
16,14,0.42857142857142855,False,2.4491157824491157,8.0
24,5,1.0,True,8.008008008008009,8.0
24,6,0.7142857142857143,False,6.649983316649983,8.0
24,8,0.7142857142857143,False,5.9859859859859865,8.0
24,10,0.7142857142857143,False,4.41941941941942,8.0
24,12,0.42857142857142855,False,3.541875208541875,8.0
24,14,0.42857142857142855,False,2.914581247914581,8.0
24,16,0.42857142857142855,False,3.164831498164831,8.0
24,18,0.42857142857142855,False,2.667667667667667,8.0
24,20,0.42857142857142855,False,2.7394060727394063,8.0
32,5,1.0,True,8.008008008008009,8.0
32,6,1.0,True,8.008008008008009,8.0
32,8,0.7142857142857143,False,5.757424090757424,8.0
32,10,0.7142857142857143,False,5.276943610276944,8.0
32,12,0.7142857142857143,False,4.828161494828161,8.0
32,14,0.8571428571428571,False,4.082415749082416,8.0
32,16,0.42857142857142855,False,4.2592592592592595,8.0
32,18,0.5714285714285714,False,4.738071404738071,8.0
32,20,0.42857142857142855,False,3.78712045378712,8.0
40,5,1.0,True,8.008008008008009,8.0
40,6,1.0,True,8.008008008008009,8.0
40,8,1.0,True,8.008008008008009,8.0
40,10,1.0,True,8.008008008008009,8.0
40,12,0.8571428571428571,False,7.901234567901234,8.0
40,14,0.7142857142857143,False,5.817484150817484,8.0
40,16,0.5714285714285714,False,3.670337003670337,8.0
40,18,0.42857142857142855,False,3.4651317984651318,8.0
40,20,0.14285714285714285,False,4.763096429763096,8.0
48,5,1.0,True,8.008008008008009,8.0
48,6,1.0,True,8.008008008008009,8.0
48,8,1.0,True,8.008008008008009,8.0
48,10,1.0,True,8.008008008008009,8.0
48,12,0.8571428571428571,False,6.5081748415081755,8.0
48,14,0.7142857142857143,False,6.009342676009342,8.0
48,16,0.7142857142857143,False,5.857524190857524,8.0
48,18,0.7142857142857143,False,5.3586920253586925,8.0
48,20,0.5714285714285714,False,5.315315315315315,8.0
56,5,1.0,True,8.008008008008009,8.0
56,6,1.0,True,8.008008008008009,8.0
56,8,1.0,True,8.008008008008009,8.0
56,10,1.0,True,8.008008008008009,8.0
56,12,1.0,True,8.008008008008009,8.0
56,14,1.0,True,8.008008008008009,8.0
56,16,0.7142857142857143,False,6.501501501501502,8.0
56,18,0.5714285714285714,False,5.2686019352686015,8.0
56,20,0.2857142857142857,False,4.928261594928261,8.0
64,5,1.0,True,8.008008008008009,8.0
64,6,1.0,True,8.008008008008009,8.0
64,8,1.0,True,8.008008008008009,8.0
64,10,1.0,True,8.008008008008009,8.0
64,12,1.0,True,8.008008008008009,8.0
64,14,1.0,True,8.008008008008009,8.0
64,16,1.0,True,8.008008008008009,8.0
64,18,1.0,True,8.008008008008009,8.0
64,20,0.8571428571428571,False,6.476476476476477,8.0
